hostLineage	lowerLineage	EukTree
SAR	Stramenopila	Phaeophyceae
SAR	Stramenopila	Raphidophyceae
SAR	Stramenopila	Pelagophyceae
SAR	Stramenopila	Bicosoecida
Haptista	Haptista	Isochrysidales
Haptista	Haptista	Prymnesiales
Haptista	Haptista	Phaeocystales
Archaeplastida	Chlorophyta	Trebouxiophyceae
Archaeplastida	Chlorophyta	Chlorodendrophyceae
Archaeplastida	Mamiellales	Bathycoccus
Archaeplastida	Mamiellales	Ostreococcus
Archaeplastida	Mamiellales	Micromonas
Archaeplastida	Archaeplastida	Pyramimonadales
Opisthokonta	Insecta	Diptera
Opisthokonta	Insecta	Lepidoptera
Opisthokonta	Insecta	Lepidoptera,Diptera
Opisthokonta	Insecta	Coleoptera
Opisthokonta	Insecta	Orthoptera
Opisthokonta	Insecta	Orthoptera,Lepidoptera
Opisthokonta	Arthropoda	Malacostraca
Opisthokonta	Arthropoda	Mammals,Chelicerata
Opisthokonta	Metazoa	Mollusca
Opisthokonta	Metazoa	Aves
Opisthokonta	Metazoa	Reptilia
Opisthokonta	Metazoa	Mammalia
Opisthokonta	Metazoa	Amphibia
Opisthokonta	Metazoa	Fish
Opisthokonta	Choanoflagellata	Choanoflagellata
Amoebozoa	Amoebozoa	Discosea
Amoebozoa	Amoebozoa	Tubulinea
Discoba	Discoba	Eubodonida
